year,month,day,A,B,total,weeke,holiday
2018,4,18,270222,202645,472867,3,0
2018,4,19,282232,197421,479653,4,0
2018,4,20,275744,205497,481241,5,0
2018,4,21,277738,201284,479022,6,1
2018,4,22,289924,201344,491268,7,1
2018,4,23,280037,209395,489432,1,0
2018,4,24,269575,198295,467870,2,0
2018,4,25,275019,194648,469667,3,0
2018,4,26,269564,193392,462956,4,0
2018,4,27,272744,191601,464345,5,0
2018,4,28,278501,191040,469541,6,0
2018,4,29,266812,186814,453626,7,1
2018,4,30,271013,182443,453456,1,1
2018,5,1,272229,190216,462445,2,1
2018,5,2,292358,215772,508130,3,0
2018,5,3,270280,200880,471160,4,0
2018,5,4,249409,186255,435664,5,0
2018,5,5,262965,190722,453687,6,1
2018,5,6,266964,192799,459763,7,1
2018,5,7,241986,204903,446889,1,0
2018,5,8,258606,192130,450736,2,0
2018,5,9,247950,190389,438339,3,0
2018,5,10,240404,198530,438934,4,0
2018,5,11,238188,199917,438105,5,0
2018,5,12,219946,211781,431727,6,1
2018,5,13,219806,214332,434138,7,1
2018,5,14,223007,231447,454454,1,0
2018,5,15,220381,240557,460938,2,0
2018,5,16,242458,237171,479629,3,0
2018,5,17,256392,232967,489359,4,0
2018,5,18,260948,234797,495745,5,0
2018,5,19,275488,226146,501634,6,1
2018,5,20,274851,220844,495695,7,1
2018,5,21,270385,224756,495141,1,0
2018,5,22,269762,225425,495187,2,0
2018,5,23,277615,226635,504250,3,0
2018,5,24,278091,220377,498468,4,0
2018,5,25,280100,218484,498584,5,0
2018,5,26,267666,219295,486961,6,1
2018,5,27,283455,219956,503411,7,1
2018,5,28,274974,227562,502536,1,0
2018,5,29,281224,227939,509163,2,0
2018,5,30,283653,232012,515665,3,0
2018,5,31,283968,236013,519981,4,0
2018,6,1,274040,212922,486962,5,0
2018,6,2,278431,215919,494350,6,1
2018,6,3,275825,220684,496509,7,1
2018,6,4,285644,221906,507550,1,0
2018,6,5,268239,199201,467440,2,0
2018,6,6,265343,200324,465667,3,0
2018,6,7,243438,195536,438974,4,0
2018,6,8,237479,196416,433895,5,0
2018,6,9,239237,207365,446602,6,1
2018,6,10,262607,224747,487354,7,1
2018,6,11,258176,230911,489087,1,0
2018,6,12,237389,217340,454729,2,0
2018,6,13,237251,217661,454912,3,0
2018,6,14,227717,221977,449694,4,0
2018,6,15,227248,217972,445220,5,0
2018,6,16,236444,215325,451769,6,1
2018,6,17,234637,205530,440167,7,1
2018,6,18,240945,204700,445645,1,1
2018,6,19,238278,218498,456776,2,0
2018,6,20,252008,234382,486390,3,0
2018,6,21,254607,224852,479459,4,0
2018,6,22,240133,215058,455191,5,0
2018,6,23,234549,207387,441936,6,1
2018,6,24,250485,214774,465259,7,1
2018,6,25,258295,219901,478196,1,0
2018,6,26,261616,223402,485018,2,0
2018,6,27,233728,226096,459824,3,0
2018,6,28,249703,228924,478627,4,0
2018,6,29,252332,229702,482034,5,0
2018,6,30,240701,226518,467219,6,1
2018,7,1,243514,221855,465369,7,1
2018,7,2,236139,225293,461432,1,0
2018,7,3,248348,225510,473858,2,0
2018,7,4,251115,229130,480245,3,0
2018,7,5,233982,222216,456198,4,0
2018,7,6,251211,223586,474797,5,0
2018,7,7,247114,219164,466278,6,1
2018,7,8,246383,218649,465032,7,1
2018,7,9,249967,227623,477590,1,0
2018,7,10,232980,235466,468446,2,0
2018,7,11,246271,238630,484901,3,0
2018,7,12,251329,236608,487937,4,0
2018,7,13,223674,223587,447261,5,0
2018,7,14,239744,220116,459860,6,1
2018,7,15,231906,213086,444992,7,1
2018,7,16,232709,229910,462619,1,0
2018,7,17,260918,208527,469445,2,0
2018,7,18,233149,200360,433509,3,0
2018,7,19,248720,207229,455949,4,0
2018,7,20,249523,206595,456118,5,0
2018,7,21,242559,203521,446080,6,1
2018,7,22,254550,203448,457998,7,1
2018,7,23,250209,204709,454918,1,0
2018,7,24,247447,206595,454042,2,0
2018,7,25,250440,205396,455836,3,0
2018,7,26,243168,207935,451103,4,0
2018,7,27,248680,206796,455476,5,0
2018,7,28,253777,208062,461839,6,1
2018,7,29,243766,206482,450248,7,1
2018,7,30,258101,227590,485691,1,0
2018,7,31,252104,236709,488813,2,0
2018,8,1,255840,238418,494258,3,0
2018,8,2,267274,235455,502729,4,0
2018,8,3,259327,230192,489519,5,0
2018,8,4,258968,227474,486442,6,1
2018,8,5,265689,228277,493966,7,1
2018,8,6,261135,234826,495961,1,0
2018,8,7,274356,232800,507156,2,0
2018,8,8,275438,235765,511203,3,0
2018,8,9,268466,232772,501238,4,0
2018,8,10,257769,222545,480314,5,0
2018,8,11,244398,218018,462416,6,1
2018,8,12,259785,220762,480547,7,1
2018,8,13,272304,233557,505861,1,0
2018,8,14,253483,228098,481581,2,0
2018,8,15,264462,221085,485547,3,0
2018,8,16,259324,223043,482367,4,0
2018,8,17,261142,221065,482207,5,0
2018,8,18,257344,223595,480939,6,1
2018,8,19,248243,216891,465134,7,1
2018,8,20,262508,226806,489314,1,0
2018,8,21,264507,227502,492009,2,0
2018,8,22,250930,226509,477439,3,0
2018,8,23,265746,227694,493440,4,0
2018,8,24,270017,230477,500494,5,0
2018,8,25,263626,229116,492742,6,1
2018,8,26,262001,224646,486647,7,1
2018,8,27,254970,226211,481181,1,0
2018,8,28,253485,218105,471590,2,0
2018,8,29,247712,214115,461827,3,0
2018,8,30,242386,216422,458808,4,0
2018,8,31,247446,216840,464286,5,0
2018,9,1,247507,219410,466917,6,1
2018,9,2,250630,222502,473132,7,1
2018,9,3,257268,229385,486653,1,0
2018,9,4,260564,238010,498574,2,0
2018,9,5,260736,236336,497072,3,0
2018,9,6,259630,238540,498170,4,0
2018,9,7,246134,227964,474098,5,0
2018,9,8,247485,226204,473689,6,1
2018,9,9,246551,222982,469533,7,1
2018,9,10,252111,234748,486859,1,0
2018,9,11,256038,233185,489223,2,0
2018,9,12,247528,232777,480305,3,0
2018,9,13,253177,235596,488773,4,0
2018,9,14,268586,218883,487469,5,0
2018,9,15,254172,220514,474686,6,1
2018,9,16,227704,211784,439488,7,1
2018,9,17,264146,240638,504784,1,0
2018,9,18,256892,239513,496405,2,0
2018,9,19,261560,240273,501833,3,0
2018,9,20,265508,237621,503129,4,0
2018,9,21,286461,237733,524194,5,0
2018,9,22,264099,233642,497741,6,1
2018,9,23,229375,220702,450077,7,1
2018,9,24,243160,211386,454546,1,1
2018,9,25,244776,228312,473088,2,0
2018,9,26,256429,240341,496770,3,0
2018,9,27,262806,221864,484670,4,0
2018,9,28,226972,250734,477706,5,0
2018,9,29,236423,235902,472325,6,0
2018,9,30,225611,220960,446571,7,0
2018,10,1,216380,171792,388172,1,1
2018,10,2,219190,166702,385892,2,1
2018,10,3,216848,171634,388482,3,1
2018,10,4,228336,189060,417396,4,1
2018,10,5,234687,195400,430087,5,1
2018,10,6,238457,195022,433479,6,1
2018,10,7,229147,202993,432140,7,1
2018,10,8,229345,206583,435928,1,0
2018,10,9,222101,206965,429066,2,0
2018,10,10,220437,195155,415592,3,0
2018,10,11,213954,193466,407420,4,0
2018,10,12,219500,195874,415374,5,0
2018,10,13,223550,196715,420265,6,1
2018,10,14,220720,197169,417889,7,1
2018,10,15,231095,200840,431935,1,0
2018,10,16,216725,195109,411834,2,0
2018,10,17,195014,191223,386237,3,0
2018,10,18,217211,190693,407904,4,0
2018,10,19,229977,202496,432473,5,0
2018,10,20,237774,196942,434716,6,1
2018,10,21,236213,201931,438144,7,1
2018,10,22,221724,198919,420643,1,0
2018,10,23,228086,198358,426444,2,0
2018,10,24,232661,201609,434270,3,0
2018,10,25,208912,223304,432216,4,0
2018,10,26,231775,233679,465454,5,0
2018,10,27,239095,236113,475208,6,1
2018,10,28,239279,234023,473302,7,1
2018,10,29,244854,238843,483697,1,0
2018,10,30,238592,241774,480366,2,0
2018,10,31,230761,257401,488162,3,0
2018,11,1,219717,258710,478427,4,0
2018,11,2,227088,254078,481166,5,0
2018,11,3,252728,256265,508993,6,1
2018,11,4,253113,255600,508713,7,1
2018,11,5,261016,268282,529298,1,0
2018,11,6,275900,270193,546093,2,0
2018,11,7,265538,272567,538105,3,0
2018,11,8,262975,266200,529175,4,0
2018,11,9,260677,263859,524536,5,0
2018,11,10,249601,263799,513400,6,1
2018,11,11,272845,261717,534562,7,1
2018,11,12,273648,262929,536577,1,0
2018,11,13,261122,262922,524044,2,0
2018,11,14,270042,260373,530415,3,0
2018,11,15,258445,263078,521523,4,0
2018,11,16,248736,264855,513591,5,0
2018,11,17,237927,251877,489804,6,1
2018,11,18,235998,261744,497742,7,1
2018,11,19,253194,252450,505644,1,0
2018,11,20,242669,266409,509078,2,0
2018,11,21,237765,265254,503019,3,0
2018,11,22,262044,197641,459685,4,0
2018,11,23,263658,187962,451620,5,0
2018,11,24,267697,189405,457102,6,1
2018,11,25,255256,176749,432005,7,1
2018,11,26,251412,188393,439805,1,0
2018,11,27,260226,183349,443575,2,0
2018,11,28,231633,185708,417341,3,0
2018,11,29,233457,191325,424782,4,0
2018,11,30,237400,188450,425850,5,0
2018,12,1,229783,187032,416815,6,1
2018,12,2,242421,189172,431593,7,1
2018,12,3,227285,195016,422301,1,0
2018,12,4,237187,194413,431600,2,0
2018,12,5,238373,188558,426931,3,0
2018,12,6,233866,191232,425098,4,0
2018,12,7,218812,213938,432750,5,0
2018,12,8,229010,212226,441236,6,1
2018,12,9,217523,210761,428284,7,1
2018,12,10,236146,219798,455944,1,0
2018,12,11,235319,219079,454398,2,0
2018,12,12,188155,214343,402498,3,0
2018,12,13,179987,212326,392313,4,0
2018,12,14,182824,211132,393956,5,0
2018,12,15,183272,214928,398200,6,1
2018,12,16,176523,210891,387414,7,1
2018,12,17,179757,220405,400162,1,0
2018,12,18,194498,221902,416400,2,0
2018,12,19,230660,201808,432468,3,0
2018,12,20,253448,190125,443573,4,0
2018,12,21,268542,188731,457273,5,0
2018,12,22,262730,188957,451687,6,1
2018,12,23,245387,177411,422798,7,1
2018,12,24,239337,178531,417868,1,0
2018,12,25,248300,182093,430393,2,0
2018,12,26,262028,188068,450096,3,0
2018,12,27,256259,182764,439023,4,0
2018,12,28,244056,178368,422424,5,0
2018,12,29,238406,165756,404162,6,0
2018,12,30,230877,161076,391953,7,1
2018,12,31,224987,155418,380405,1,1
2019,1,1,238764,161445,400209,2,1
2019,1,2,205616,214365,419981,3,0
2019,1,3,186809,242247,429056,4,0
2019,1,4,173714,237938,411652,5,0
2019,1,5,149653,233926,383579,6,1
2019,1,6,162739,237553,400292,7,1
2019,1,7,158654,231221,389875,1,0
2019,1,8,153484,235408,388892,2,0
2019,1,9,161160,234763,395923,3,0
2019,1,10,161163,234807,395970,4,0
2019,1,11,193312,241504,434816,5,0
2019,1,12,197961,237764,435725,6,1
2019,1,13,198062,232983,431045,7,1
2019,1,14,195768,234566,430334,1,0
2019,1,15,185108,231901,417009,2,0
2019,1,16,184521,233731,418252,3,0
2019,1,17,186081,236024,422105,4,0
2019,1,18,203013,233601,436614,5,0
2019,1,19,223011,233961,456972,6,1
2019,1,20,227652,232376,460028,7,1
2019,1,21,160536,226035,386571,1,0
2019,1,22,128875,223133,352008,2,0
2019,1,23,130397,225126,355523,3,0
2019,1,24,125944,222665,348609,4,0
2019,1,25,131229,217064,348293,5,0
2019,1,26,115940,204986,320926,6,1
2019,1,27,102598,197851,300449,7,1
2019,1,28,134039,190714,324753,1,0
2019,1,29,159102,177766,336868,2,0
2019,1,30,178245,142742,320987,3,0
2019,1,31,192091,109558,301649,4,0
2019,2,1,172349,96594,268943,5,0
2019,2,2,170651,90870,261521,6,0
2019,2,3,157042,86718,243760,7,0
2019,2,4,150144,86372,236516,1,1
2019,2,5,128662,74082,202744,2,1
2019,2,6,130886,77124,208010,3,1
2019,2,7,138694,77873,216567,4,1
2019,2,8,143934,82507,226441,5,1
2019,2,9,158028,85644,243672,6,1
2019,2,10,177914,94827,272741,7,1
2019,2,11,205825,112914,318739,1,0
2019,2,12,233054,130866,363920,2,0
2019,2,13,236725,138724,375449,3,0
2019,2,14,240606,146261,386867,4,0
2019,2,15,252616,147556,400172,5,0
2019,2,16,257834,152746,410580,6,1
2019,2,17,255303,150434,405737,7,1
2019,2,18,249325,147144,396469,1,0
2019,2,19,255000,156682,411682,2,0
2019,2,20,271057,163871,434928,3,0
2019,2,21,273559,160690,434249,4,0
2019,2,22,255776,157411,413187,5,0
2019,2,23,253388,150043,403431,6,1
2019,2,24,259992,154182,414174,7,1
2019,2,25,263388,160201,423589,1,0
2019,2,26,272328,164331,436659,2,0
2019,2,27,288244,172130,460374,3,0
2019,2,28,287763,175266,463029,4,0
2019,3,1,271769,187180,458949,5,0
2019,3,2,264158,190566,454724,6,1
2019,3,3,261876,185983,447859,7,1
2019,3,4,229748,217672,447420,1,0
2019,3,5,219778,234582,454360,2,0
2019,3,6,209343,227430,436773,3,0
2019,3,7,201134,221418,422552,4,0
2019,3,8,206765,229884,436649,5,0
2019,3,9,202574,223246,425820,6,1
2019,3,10,202580,225481,428061,7,1
2019,3,11,220446,240514,460960,1,0
2019,3,12,238630,240180,478810,2,0
2019,3,13,225680,240985,466665,3,0
2019,3,14,220066,233216,453282,4,0
2019,3,15,210763,230086,440849,5,0
2019,3,16,227277,234600,461877,6,1
2019,3,17,234966,235139,470105,7,1
2019,3,18,225088,239190,464278,1,0
2019,3,19,236216,246146,482362,2,0
2019,3,20,239030,243336,482366,3,0
2019,3,21,213994,244301,458295,4,0
2019,3,22,128489,231353,359842,5,0
2019,3,23,128275,221097,349372,6,1
2019,3,24,141892,222265,364157,7,1
2019,3,25,158690,221756,380446,1,0
2019,3,26,177566,223997,401563,2,0
2019,3,27,176851,231989,408840,3,0
2019,3,28,175148,239744,414892,4,0
2019,3,29,127626,233038,360664,5,0
2019,3,30,172871,231545,404416,6,1
2019,3,31,159505,231717,391222,7,1
2019,4,1,170310,228554,398864,1,0
2019,4,2,206405,233571,439976,2,0
2019,4,3,217710,234005,451715,3,0
2019,4,4,207298,221970,429268,4,0
2019,4,5,200269,213895,414164,5,1
2019,4,6,207840,225088,432928,6,1
2019,4,7,224538,230864,455402,7,1
2019,4,8,268412,214292,482704,1,0
2019,4,9,284312,206133,490445,2,0
2019,4,10,288096,207177,495273,3,0
2019,4,11,280394,203191,483585,4,0
2019,4,12,257489,178875,436364,5,0
2019,4,13,260932,189162,450094,6,1
2019,4,14,263769,186820,450589,7,1
2019,4,15,269895,190691,460586,1,0
2019,4,16,262406,189773,452179,2,0
2019,4,17,280067,197845,477912,3,0
2019,4,18,268679,191167,459846,4,0
2019,4,19,254848,184004,438852,5,0
2019,4,20,264156,184945,449101,6,1
2019,4,21,253039,224239,477278,7,1
2019,4,22,257721,248478,506199,1,0
2019,4,23,247737,251840,499577,2,0
2019,4,24,250950,253245,504195,3,0
2019,4,25,236854,255287,492141,4,0
2019,4,26,242360,248985,491345,5,0
2019,4,27,228214,240533,468747,6,1
2019,4,28,230093,240841,470934,7,0
2019,4,29,242777,243425,486202,1,0
2019,4,30,216904,232831,449735,2,0
2019,5,1,189112,214481,403593,3,1
2019,5,2,179128,214482,393610,4,1
2019,5,3,189805,226288,416093,5,1
2019,5,4,201165,227557,428722,6,1
2019,5,5,219430,208166,427596,7,0
2019,5,6,246001,186334,432335,1,0
2019,5,7,250478,185220,435698,2,0
2019,5,8,244385,186375,430760,3,0
2019,5,9,263694,186838,450532,4,0
2019,5,10,262697,204005,466702,5,0
2019,5,11,269381,201931,471312,6,1
2019,5,12,274537,202360,476897,7,1
2019,5,13,271602,204579,476181,1,0
2019,5,14,251502,209652,461154,2,0
2019,5,15,233528,210131,443659,3,0
2019,5,16,234020,212632,446652,4,0
2019,5,17,228004,211503,439507,5,0
2019,5,18,236396,209562,445958,6,1
2019,5,19,246629,216336,462965,7,1
2019,5,20,231785,207146,438931,1,0
2019,5,21,211363,197664,409027,2,0
2019,5,22,228196,202282,430478,3,0
2019,5,23,214543,198863,413406,4,0
2019,5,24,213588,203076,416664,5,0
2019,5,25,221865,204399,426264,6,1
2019,5,26,221077,198732,419809,7,1
2019,5,27,249273,203568,452841,1,0
2019,5,28,271119,202343,473462,2,0
2019,5,29,275236,210008,485244,3,0
2019,5,30,267899,200016,467915,4,0
2019,5,31,272997,192215,465212,5,0
2019,6,1,271753,192509,464262,6,1
2019,6,2,270992,196254,467246,7,1
2019,6,3,277353,198604,475957,1,0
2019,6,4,251823,230576,482399,2,0
2019,6,5,242695,252776,495471,3,0
2019,6,6,232260,245771,478031,4,0
2019,6,7,213972,233918,447890,5,1
2019,6,8,220823,238829,459652,6,1
2019,6,9,229060,246234,475294,7,1
2019,6,10,238648,246761,485409,1,0
2019,6,11,221232,239939,461171,2,0
2019,6,12,228066,244898,472964,3,0
2019,6,13,242145,223827,465972,4,0
2019,6,14,255308,229703,485011,5,0
2019,6,15,254059,227272,481331,6,1
2019,6,16,256081,229138,485219,7,1
2019,6,17,258217,230844,489061,1,0
2019,6,18,256927,230188,487115,2,0
2019,6,19,282322,237520,519842,3,0
2019,6,20,277350,238200,515550,4,0
2019,6,21,263200,243184,506384,5,0
2019,6,22,263303,243002,506305,6,1
2019,6,23,263915,243041,506956,7,1
2019,6,24,245471,235543,481014,1,0
2019,6,25,245770,237855,483625,2,0
2019,6,26,254124,240283,494407,3,0
2019,6,27,279648,244575,524223,4,0
2019,6,28,262136,247752,509888,5,0
2019,6,29,263109,242863,505972,6,1
2019,6,30,261547,239268,500815,7,1
2019,7,1,272630,237165,509795,1,0
2019,7,2,276229,249051,525280,2,0
2019,7,3,253840,244174,498014,3,0
2019,7,4,258503,242968,501471,4,0
2019,7,5,266027,245635,511662,5,0
2019,7,6,266160,247016,513176,6,1
2019,7,7,266622,243567,510189,7,1
2019,7,8,268040,251167,519207,1,0
2019,7,9,266306,245918,512224,2,0
2019,7,10,259968,239640,499608,3,0
2019,7,11,275647,244476,520123,4,0
2019,7,12,264537,246258,510795,5,0
2019,7,13,268828,244475,513303,6,1
2019,7,14,270269,246737,517006,7,1
2019,7,15,274244,249325,523569,1,0
2019,7,16,265807,216662,482469,2,0
2019,7,17,263649,234263,497912,3,0
2019,7,18,252153,265145,517298,4,0
2019,7,19,210919,255756,466675,5,0
2019,7,20,200215,248877,449092,6,1
2019,7,21,208934,248891,457825,7,1
2019,7,22,217048,230120,447168,1,0
2019,7,23,224212,233052,457264,2,0
2019,7,24,227400,234924,462324,3,0
2019,7,25,228424,235076,463500,4,0
2019,7,26,241956,226206,468162,5,0
2019,7,27,228295,236643,464938,6,1
2019,7,28,219098,228036,447134,7,1
2019,7,29,221243,240759,462002,1,0
2019,7,30,216728,235951,452679,2,0
2019,7,31,215130,205888,421018,3,0
2019,8,1,257066,200847,457913,4,0
2019,8,2,280990,206422,487412,5,0
2019,8,3,277814,212810,490624,6,1
2019,8,4,285929,226232,512161,7,1
2019,8,5,247469,228360,475829,1,0
2019,8,6,235724,217345,453069,2,0
2019,8,7,235335,223466,458801,3,0
2019,8,8,240831,224944,465775,4,0
2019,8,9,241962,225683,467645,5,0
2019,8,10,245141,227149,472290,6,1
2019,8,11,247645,227108,474753,7,1
2019,8,12,248305,227851,476156,1,0
2019,8,13,248937,231714,480651,2,0
2019,8,14,241419,212318,453737,3,0
2019,8,15,219096,206728,425824,4,0
2019,8,16,219863,199300,419163,5,0
2019,8,17,217175,195723,412898,6,1
2019,8,18,211766,187979,399745,7,1
2019,8,19,220856,198321,419177,1,0
2019,8,20,215631,198238,413869,2,0
2019,8,21,218657,202248,420905,3,0
2019,8,22,221154,203019,424173,4,0
2019,8,23,215929,203583,419512,5,0
2019,8,24,228689,201700,430389,6,1
2019,8,25,204748,187145,391893,7,1
2019,8,26,231942,193001,424943,1,0
2019,8,27,262978,201054,464032,2,0
2019,8,28,269931,205953,475884,3,0
2019,8,29,245731,203272,449003,4,0
2019,8,30,240567,198088,438655,5,0
2019,8,31,241158,196146,437304,6,1
2019,9,1,247067,190112,437179,7,1
2019,9,2,230722,191680,422402,1,0
2019,9,3,242261,192203,434464,2,0
2019,9,4,236566,192889,429455,3,0
2019,9,5,244449,198969,443418,4,0
2019,9,6,241013,196761,437774,5,0
2019,9,7,255732,202812,458544,6,1
2019,9,8,261460,199197,460657,7,1
2019,9,9,249742,201872,451614,1,0
2019,9,10,246392,202674,449066,2,0
2019,9,11,241705,200819,442524,3,0
2019,9,12,245317,200045,445362,4,0
2019,9,13,220411,180481,400892,5,1
2019,9,14,215692,182340,398032,6,1
2019,9,15,247800,195839,443639,7,1
2019,9,16,232755,197378,430133,1,0
2019,9,17,246705,198251,444956,2,0
2019,9,18,251402,206766,458168,3,0
2019,9,19,257056,203357,460413,4,0
2019,9,20,256584,195261,451845,5,0
2019,9,21,255569,191971,447540,6,1
2019,9,22,259366,202769,462135,7,1
2019,9,23,263728,198496,462224,1,0
2019,9,24,261237,209489,470726,2,0
2019,9,25,242439,202317,444756,3,0
2019,9,26,240950,199852,440802,4,0
2019,9,27,226851,252079,478930,5,0
2019,9,28,229245,261918,491163,6,1
2019,9,29,237800,256869,494669,7,0
2019,9,30,239128,241705,480833,1,0
2019,10,1,213238,220149,433387,2,1
2019,10,2,207737,224675,432412,3,1
2019,10,3,210085,231629,441714,4,1
2019,10,4,214198,241877,456075,5,1
2019,10,5,227467,250184,477651,6,1
2019,10,6,231497,243355,474852,7,1
2019,10,7,246536,256266,502802,1,1
2019,10,8,247899,264167,512066,2,0
2019,10,9,252809,262598,515407,3,0
2019,10,10,253771,265382,519153,4,0
2019,10,11,256266,264074,520340,5,0
2019,10,12,248157,259858,508015,6,0
2019,10,13,246748,251713,498461,7,1
2019,10,14,250258,258968,509226,1,0
2019,10,15,265330,261367,526697,2,0
2019,10,16,272070,263089,535159,3,0
2019,10,17,279566,261476,541042,4,0
2019,10,18,253823,260764,514587,5,0
2019,10,19,253251,259718,512969,6,1
2019,10,20,255669,262195,517864,7,1
2019,10,21,248569,267805,516374,1,0
2019,10,22,246620,264635,511255,2,0
2019,10,23,250228,267770,517998,3,0
2019,10,24,251657,264874,516531,4,0
2019,10,25,250074,264181,514255,5,0
2019,10,26,264754,264295,529049,6,1
2019,10,27,287567,260133,547700,7,1
2019,10,28,272120,260925,533045,1,0
2019,10,29,278252,264656,542908,2,0
2019,10,30,274548,264592,539140,3,0
2019,10,31,267325,263135,530460,4,0
2019,11,1,275337,263234,538571,5,0
2019,11,2,271830,260836,532666,6,1
2019,11,3,277516,260483,537999,7,1
2019,11,4,268956,274018,542974,1,0
2019,11,5,265905,289316,555221,2,0
2019,11,6,268987,268000,536987,3,0
2019,11,7,249452,256191,505643,4,0
2019,11,8,245919,190353,436272,5,0
2019,11,9,241286,181845,423131,6,1
2019,11,10,250103,185935,436038,7,1
2019,11,11,240593,186884,427477,1,0
2019,11,12,244095,187371,431466,2,0
2019,11,13,252831,186922,439753,3,0
2019,11,14,210281,188516,398797,4,0
2019,11,15,205261,183255,388516,5,0
2019,11,16,203791,182898,386689,6,1
2019,11,17,214768,186722,401490,7,1
2019,11,18,231812,191526,423338,1,0
2019,11,19,197496,191126,388622,2,0
2019,11,20,193595,192367,385962,3,0
2019,11,21,203759,196873,400632,4,0
2019,11,22,196149,189073,385222,5,0
2019,11,23,214306,192295,406601,6,1
2019,11,24,213135,195276,408411,7,1
2019,11,25,204396,196054,400450,1,0
2019,11,26,208053,191701,399754,2,0
2019,11,27,201892,193306,395198,3,0
2019,11,28,196274,194380,390654,4,0
2019,11,29,209256,258345,467601,5,0
